state,lat,lng,elevation,slope_deg,drainage_density,ndvi,ndwi,land_surface_temp,mineral_alteration_index,mn_ppm_soil,magnetic_anomaly_nt,distance_to_fault_km,distance_to_known_mine_km,geology_type,prospectivity_score
Odisha,20.6489,84.2128,615.2,34.8,0.23,0.475,0.044,36.6,0.93,864.9,-5.0,0.46,437.14,gondite_archean,0.513
Karnataka,12.3418,76.702,345.8,19.1,0.58,0.71,0.237,25.0,0.657,344.3,22.2,2.31,1011.81,archean,0.37
Goa,15.682,74.0899,516.3,32.6,2.81,0.732,-0.225,24.6,0.495,812.0,29.7,7.2,804.77,laterite,0.287
Andhra Pradesh,18.1411,82.7268,447.0,16.5,1.74,0.213,0.295,25.9,0.485,227.7,-42.7,11.82,466.05,kodurite_archean,0.299
Karnataka,15.963,77.395,120.0,20.4,2.68,0.16,-0.057,36.8,0.449,240.4,26.7,5.78,603.78,archean,0.389
Andhra Pradesh,18.6078,83.0303,113.5,17.3,2.6,0.688,0.274,36.1,0.295,930.8,35.3,6.18,453.94,kodurite_archean,0.398
Odisha,22.2782,85.0946,390.7,22.4,2.09,0.276,0.202,26.6,0.515,530.2,-5.6,14.08,509.31,gondite_archean,0.434
Maharashtra,21.4268,79.0096,488.6,18.0,0.87,0.504,-0.034,29.1,0.31,835.8,20.1,1.13,31.89,gondite_archean,0.432
Karnataka,16.5009,77.0207,743.0,16.4,1.65,0.636,-0.043,33.2,0.285,349.1,12.1,3.31,560.93,archean,0.383
Odisha,20.5773,84.3063,563.5,28.1,2.4,0.369,0.293,31.5,0.697,711.5,61.3,1.75,448.87,gondite_archean,0.582
Karnataka,17.6019,76.5162,646.8,21.0,2.56,0.321,0.045,24.0,0.653,841.3,31.4,4.28,478.03,archean,0.415
Odisha,20.7597,84.1798,432.4,14.1,2.27,0.615,0.064,22.4,0.584,872.1,47.2,5.03,430.26,gondite_archean,0.46
Karnataka,17.7831,76.2494,160.3,33.2,2.78,0.561,-0.019,23.5,0.528,508.9,2.1,1.4,478.34,archean,0.367
Odisha,20.1153,86.0042,747.1,16.4,1.62,0.17,-0.258,26.1,0.76,841.2,-0.9,1.01,633.06,gondite_archean,0.563
Maharashtra,19.9095,79.9721,510.4,26.1,2.74,0.703,0.021,30.2,0.582,760.6,11.7,4.54,144.12,gondite_archean,0.508
Odisha,21.0076,85.4645,370.2,3.4,2.84,0.614,0.203,27.9,0.549,1101.8,30.5,3.39,554.1,gondite_archean,0.529
Odisha,22.4948,83.6722,452.9,16.4,1.04,0.493,-0.21,34.5,0.673,435.3,53.4,14.45,367.85,gondite_archean,0.51
Madhya Pradesh,22.3594,78.0256,715.0,30.8,0.49,0.381,0.166,28.9,0.45,431.9,1.7,1.42,173.68,gondite_archean,0.422
Odisha,21.1765,85.406,264.2,24.6,2.28,0.305,-0.094,37.8,0.72,651.6,74.0,11.72,545.11,gondite_archean,0.508
Maharashtra,21.1369,80.3784,564.0,9.1,1.32,0.605,0.091,24.8,0.576,714.5,38.3,10.99,75.63,gondite_archean,0.437
Madhya Pradesh,21.2916,75.4846,275.5,9.8,1.78,0.452,-0.178,23.1,0.692,761.2,39.4,9.81,374.04,gondite_archean,0.584
Odisha,21.5652,84.4533,765.6,3.8,2.36,0.21,0.229,26.9,0.539,1211.6,73.9,23.58,442.31,gondite_archean,0.453
Odisha,22.2566,85.6318,745.9,14.1,1.52,0.671,-0.051,30.6,0.723,957.3,11.2,4.72,564.21,gondite_archean,0.55
Karnataka,15.2218,77.9813,720.7,3.9,2.69,0.433,0.146,24.2,0.383,808.2,20.8,1.32,669.5,archean,0.397
Odisha,20.2192,83.8501,653.5,2.0,1.93,0.234,0.267,36.9,0.627,513.9,23.5,3.35,419.53,gondite_archean,0.452
